id,display_name,description,works_count,cited_by_count,domain_id,domain_name,field_id,field_name
subfields/2202,Aerospace Engineering,branch of engineering,27236109,17216179,domains/3,Physical Sciences,fields/22,Engineering
subfields/3312,Sociology and Political Science,academic disciplines concerned with society and the relationships between individuals in society,14947779,65710629,domains/2,Social Sciences,fields/33,Social Sciences
subfields/3106,Nuclear and High Energy Physics,physics of elementary particles at high energies,12325910,22767715,domains/3,Physical Sciences,fields/31,Physics and Astronomy
subfields/1312,Molecular Biology,branch of biology that deals with the molecular basis of biological activity,10827318,184457808,domains/1,Life Sciences,fields/13,"Biochemistry, Genetics and Molecular Biology"
subfields/2002,Economics and Econometrics,"social science that studies the production, distribution, and consumption of goods and services",10722114,36998103,domains/2,Social Sciences,fields/20,"Economics, Econometrics and Finance"
subfields/1110,Plant Science,science of plant life,10625991,56805393,domains/1,Life Sciences,fields/11,Agricultural and Biological Sciences
subfields/2208,Electrical and Electronic Engineering,"electrical engineering discipline which utilizes nonlinear and active electrical components to design electronic circuits, devices, and their systems",10593029,78773390,domains/3,Physical Sciences,fields/22,Engineering
subfields/3320,Political Science and International Relations,academic discipline,9932169,27124630,domains/2,Social Sciences,fields/33,Social Sciences
subfields/1702,Artificial Intelligence,field of computer science and engineering practices for intelligence demonstrated by machines and intelligent agents,9455177,52287309,domains/3,Physical Sciences,fields/17,Computer Science
subfields/3304,Education,transmission of knowledge and skills,9118625,30532024,domains/2,Social Sciences,fields/33,Social Sciences
subfields/2746,Surgery,medical specialty,5906289,56941579,domains/4,Health Sciences,fields/27,Medicine
subfields/2505,Materials Chemistry,"study of the synthesis, structure, and properties of solid phase materials",5485244,72310484,domains/3,Physical Sciences,fields/25,Materials Science
subfields/1202,History,past events and their tracks or records,5024376,5912611,domains/2,Social Sciences,fields/12,Arts and Humanities
subfields/3103,Astronomy and Astrophysics,scientific study of celestial objects and phenomena,4657242,33322859,domains/3,Physical Sciences,fields/31,Physics and Astronomy
subfields/1208,Literature and Literary Theory,"polysemous term referring to a written art form, and the set of all literary works",4492758,7377173,domains/2,Social Sciences,fields/12,Arts and Humanities
subfields/3600,General Health Professions,type of profession,4419137,23387694,domains/4,Health Sciences,fields/36,Health Professions
subfields/2204,Biomedical Engineering,application of engineering principles and design concepts to medicine and biology,4409510,54978239,domains/3,Physical Sciences,fields/22,Engineering
subfields/1710,Information Systems,"academic study of systems with a specific reference to information and the complementary networks of hardware and software that people and organizations use to collect, filter, process, create and also distribute data",4409280,16958615,domains/3,Physical Sciences,fields/17,Computer Science
subfields/3107,"Atomic and Molecular Physics, and Optics",branch of physics,4327711,43701910,domains/3,Physical Sciences,fields/31,Physics and Astronomy
subfields/2210,Mechanical Engineering,engineering discipline,4300844,33871170,domains/3,Physical Sciences,fields/22,Engineering
subfields/2739,"Public Health, Environmental and Occupational Health","science and art of preventing disease, prolonging life and promoting health through organized efforts and informed choices of society, organizations, public and private, communities and individuals",4235455,34898897,domains/4,Health Sciences,fields/27,Medicine
subfields/1211,Philosophy,"study of the truths and principles of being, knowledge, or conduct",3855484,9183053,domains/2,Social Sciences,fields/12,Arts and Humanities
subfields/1105,"Ecology, Evolution, Behavior and Systematics",scientific study of the relationships between living organisms,3854918,18146894,domains/1,Life Sciences,fields/11,Agricultural and Biological Sciences
subfields/1311,Genetics,"science of genes, heredity, and variation in living organisms",3797285,40611052,domains/1,Life Sciences,fields/13,"Biochemistry, Genetics and Molecular Biology"
subfields/2735,"Pediatrics, Perinatology and Child Health",field of medicine dealing with the care of children,3752005,15059732,domains/4,Health Sciences,fields/27,Medicine
subfields/2713,Epidemiology,"study of the patterns, causes, and effects of health and disease conditions",3736980,46115941,domains/4,Health Sciences,fields/27,Medicine
subfields/2740,Pulmonary and Respiratory Medicine,"branch of medicine concerned with the diagnosis, treatment, and prevention of diseases affecting the lungs and respiratory system, including asthma, COPD, and pulmonary infections",3730198,39973048,domains/4,Health Sciences,fields/27,Medicine
subfields/2303,Ecology,scientific study of the relationships between living organisms,3546441,32658303,domains/3,Physical Sciences,fields/23,Environmental Science
subfields/1605,Organic Chemistry,"subdiscipline within chemistry involving the scientific study of carbon-based compounds, hydrocarbons, and their derivatives",3531870,39006334,domains/3,Physical Sciences,fields/16,Chemistry
subfields/1204,Archeology,study of the past via material culture,3073285,5129943,domains/2,Social Sciences,fields/12,Arts and Humanities
subfields/3203,Clinical Psychology,integration of science and clinical knowledge for the purpose of relieving psychologically based dysfunction,3055247,31561393,domains/2,Social Sciences,fields/32,Psychology
subfields/2205,Civil and Structural Engineering,"engineering discipline specializing in design, construction and maintenance of the built environment",2849423,18843726,domains/3,Physical Sciences,fields/22,Engineering
subfields/1705,Computer Networks and Communications,network that allows computers to share resources and communicate with each other,2741139,22316786,domains/3,Physical Sciences,fields/17,Computer Science
subfields/1408,Strategy and Management,high-level plan to achieve objectives in uncertain conditions,2734274,17092338,domains/2,Social Sciences,fields/14,"Business, Management and Accounting"
subfields/2207,Control and Systems Engineering,"engineering discipline that applies control theory to design systems with desired behaviors, focusing on the development and implementation of control systems in machinery, processes, and automation",2723760,19353806,domains/3,Physical Sciences,fields/22,Engineering
subfields/3308,Law,"system of rules and guidelines, generally backed by governmental authority",2721436,3867695,domains/2,Social Sciences,fields/33,Social Sciences
subfields/3207,Social Psychology,"scientific study of social effects on people's thoughts, feelings, and behaviors",2658491,28075027,domains/2,Social Sciences,fields/32,Psychology
subfields/1203,Language and Linguistics,structured system of communication,2634584,9577878,domains/2,Social Sciences,fields/12,Arts and Humanities
subfields/3314,Anthropology,"scientific study of humans, human behavior, and societies",2624400,7508166,domains/2,Social Sciences,fields/33,Social Sciences
subfields/2308,"Management, Monitoring, Policy and Law","system of rules and guidelines, generally backed by governmental authority",2486463,7953611,domains/3,Physical Sciences,fields/23,Environmental Science
subfields/2730,Oncology,branch of medicine dealing with cancer,2450753,39933840,domains/4,Health Sciences,fields/27,Medicine
subfields/3316,Cultural Studies,academic field of critical theory and literary criticism,2424904,3894027,domains/2,Social Sciences,fields/33,Social Sciences
subfields/2737,Physiology,science regarding function of organisms or living systems,2423661,40069144,domains/4,Health Sciences,fields/27,Medicine
subfields/1707,Computer Vision and Pattern Recognition,computerized information extraction from images,2412936,28309392,domains/3,Physical Sciences,fields/17,Computer Science
subfields/2705,Cardiology and Cardiovascular Medicine,branch of medicine dealing with disorders of the heart as well as parts of the circulatory system,2391815,32415188,domains/4,Health Sciences,fields/27,Medicine
subfields/2306,Global and Planetary Change,planetary-scale changes in the Earth system,2390526,28104443,domains/3,Physical Sciences,fields/23,Environmental Science
subfields/2741,"Radiology, Nuclear Medicine and Imaging",specialty that uses medical imaging to diagnose and treat diseases seen within the body,2242565,25112969,domains/4,Health Sciences,fields/27,Medicine
subfields/2206,Computational Mechanics,discipline concerned with the use of computational methods to study mechanics,2067963,19151571,domains/3,Physical Sciences,fields/22,Engineering
subfields/2211,Mechanics of Materials,behavior of solid objects subject to stresses and strains,2038980,19202300,domains/3,Physical Sciences,fields/22,Engineering
subfields/1106,Food Science,applied science devoted to the study of food,2026013,16461758,domains/1,Life Sciences,fields/11,Agricultural and Biological Sciences
subfields/2736,Pharmacology,branch of biology concerning drugs,1917051,16850448,domains/4,Health Sciences,fields/27,Medicine
subfields/2805,Cognitive Neuroscience,scientific field concerned with cognition,1899859,39324482,domains/1,Life Sciences,fields/28,Neuroscience
subfields/1402,Accounting,"measurement, processing and communication of financial information about economic entities",1854930,10750366,domains/2,Social Sciences,fields/14,"Business, Management and Accounting"
subfields/1908,Geophysics,study of physical processes and phenomena occurring in the earth and in its vicinity,1724077,18473382,domains/3,Physical Sciences,fields/19,Earth and Planetary Sciences
subfields/1902,Atmospheric Science,umbrella term for the study of the atmosphere,1723486,22175015,domains/3,Physical Sciences,fields/19,Earth and Planetary Sciences
subfields/2212,Ocean Engineering,engineering of devices within the ocean environment,1633146,8481016,domains/3,Physical Sciences,fields/22,Engineering
subfields/2725,Infectious Diseases,disease caused by infection of pathogenic biological agents in a host organism,1621470,22642366,domains/4,Health Sciences,fields/27,Medicine
subfields/2403,Immunology,branch of medicine studying the immune system,1615439,34209261,domains/1,Life Sciences,fields/24,Immunology and Microbiology
subfields/3317,Demography,science that deals with populations and their structures statistically and theoretically,1597463,5790068,domains/2,Social Sciences,fields/33,Social Sciences
subfields/1207,History and Philosophy of Science,academic discipline,1582764,3759279,domains/2,Social Sciences,fields/12,Arts and Humanities
subfields/2312,Water Science and Technology,emphasis of groundwater and surface water in the understanding of water resource systems,1549102,14597431,domains/3,Physical Sciences,fields/23,Environmental Science
subfields/2105,"Renewable Energy, Sustainability and the Environment",energy collected from renewable resources,1538858,24566954,domains/3,Physical Sciences,fields/21,Energy
subfields/1212,Religious studies,objective study of religion,1508481,2088583,domains/2,Social Sciences,fields/12,Arts and Humanities
subfields/1703,Computational Theory and Mathematics,area of mathematics,1503845,16240059,domains/3,Physical Sciences,fields/17,Computer Science
subfields/1304,Biophysics,study of biological systems using methods from the physical sciences,1471954,4348550,domains/1,Life Sciences,fields/13,"Biochemistry, Genetics and Molecular Biology"
subfields/2302,Ecological Modeling,computational or theoretical approach to ecology,1452477,2724111,domains/3,Physical Sciences,fields/23,Environmental Science
subfields/1803,Management Science and Operations Research,study of problem-solving in human organizations,1450199,16482841,domains/2,Social Sciences,fields/18,Decision Sciences
subfields/1911,Paleontology,scientific study of the past of life on Earth through fossils,1440623,5982570,domains/3,Physical Sciences,fields/19,Earth and Planetary Sciences
subfields/2712,"Endocrinology, Diabetes and Metabolism","medical specialty focusing on the endocrine system, its diseases, and their treatment, including diabetes management and metabolic disorders affecting hormone balance and body function",1434461,20254607,domains/4,Health Sciences,fields/27,Medicine
subfields/1407,Organizational Behavior and Human Resource Management,study of human behavior in organizational settings,1420049,13050203,domains/2,Social Sciences,fields/14,"Business, Management and Accounting"
subfields/2734,Pathology and Forensic Medicine,study and diagnosis of disease,1408139,19140822,domains/4,Health Sciences,fields/27,Medicine
subfields/1910,Oceanography,branch of Earth science that studies the ocean,1402881,12582234,domains/3,Physical Sciences,fields/19,Earth and Planetary Sciences
subfields/3205,Experimental and Cognitive Psychology,subdiscipline of psychology,1395476,18200780,domains/2,Social Sciences,fields/32,Psychology
subfields/1213,Visual Arts and Performing Arts,an expansive category encompassing creative disciplines that engage the senses and express human creativity and imagination,1393690,2206301,domains/2,Social Sciences,fields/12,Arts and Humanities
subfields/2305,Environmental Engineering,professional engineering discipline related to environmental science,1388392,12281969,domains/3,Physical Sciences,fields/23,Environmental Science
subfields/3104,Condensed Matter Physics,branch of physics dealing with a property of matter,1385770,11650220,domains/3,Physical Sciences,fields/31,Physics and Astronomy
subfields/1802,Information Systems and Management,book,1382637,5408537,domains/2,Social Sciences,fields/18,Decision Sciences
subfields/2003,Finance,"academic discipline studying businesses, financing, investments and protection of economic value",1369551,11809095,domains/2,Social Sciences,fields/20,"Economics, Econometrics and Finance"
subfields/2728,Neurology,medical specialty dealing with disorders of the nervous system,1345180,17509576,domains/4,Health Sciences,fields/27,Medicine
subfields/2215,Building and Construction,former West German trade union (1949–1995),1344909,9706353,domains/3,Physical Sciences,fields/22,Engineering
subfields/2743,Reproductive Medicine,"medicine dealing with prevention, diagnosis and management of reproductive problems",1341058,8275162,domains/4,Health Sciences,fields/27,Medicine
subfields/3322,Urban Studies,interdisciplinary field that examines the development and dynamics of cities and urban spaces,1295598,3107139,domains/2,Social Sciences,fields/33,Social Sciences
subfields/2309,Nature and Landscape Conservation,conservation of nature,1290030,11696318,domains/3,Physical Sciences,fields/23,Environmental Science
subfields/2738,Psychiatry and Mental health,"branch of medicine devoted to the study, diagnosis, treatment, and prevention of mental disorders",1288345,19825598,domains/4,Health Sciences,fields/27,Medicine
subfields/1109,Insect Science,scientific study of insects,1286149,8181045,domains/1,Life Sciences,fields/11,Agricultural and Biological Sciences
subfields/3204,Developmental and Educational Psychology,scientific study of changes that occur in human beings over the course of their lives,1278497,14847034,domains/2,Social Sciences,fields/32,Psychology
subfields/2502,Biomaterials,any substance that has been engineered to interact with biological systems for a medical purpose,1272809,16745270,domains/3,Physical Sciences,fields/25,Materials Science
subfields/1209,Museology,study of museums,1233009,1044729,domains/2,Social Sciences,fields/12,Arts and Humanities
subfields/2307,"Health, Toxicology and Mutagenesis","branch of biology, chemistry, and medicine",1216790,16542169,domains/3,Physical Sciences,fields/23,Environmental Science
subfields/2209,Industrial and Manufacturing Engineering,"discipline of engineering dealing with various manufacturing sciences and practices including the research, design and development of systems, processes, machines, tools, and equipment",1206915,7241620,domains/3,Physical Sciences,fields/22,Engineering
subfields/2745,Rheumatology,"medical specialty dealing with autoimmune diseases, especially those of joints and connective tissues, including arthritis",1162749,14603429,domains/4,Health Sciences,fields/27,Medicine
subfields/3318,Gender Studies,interdisciplinary academic field devoted to analysing gender identity and gendered representation,1150649,8070334,domains/2,Social Sciences,fields/33,Social Sciences
subfields/1307,Cell Biology,scientific discipline that studies cells,1147123,22313967,domains/1,Life Sciences,fields/13,"Biochemistry, Genetics and Molecular Biology"
subfields/1607,Spectroscopy,measurement and interpretation of interactions between matter and electromagnetic radiation of varying frequencies,1109127,15880210,domains/3,Physical Sciences,fields/16,Chemistry
